"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
06/22/2020 08:42:51,Receive,,200.00,USD,,,Imported Wallet - Binance 2020 Trades - USD,,,,,,,,,,,,,,,
06/22/2020 08:43:41,Buy,,21747.00000000,VET,,200.00,Binance US - VET,,,,200.00,USD,,,Binance US - USD,,,,1.00,USD,,
06/22/2020 08:43:41,Receive,,21747.00000000,VET,,201.84,Binance US - VET,,,,,,,,,,,,,,,
06/23/2020 06:09:24,Buy,,0.00093243,BTC,0.33373167,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/24/2020 05:53:41,Buy,,0.00093050,BTC,0.33466217,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/25/2020 05:48:56,Buy,,0.00097822,BTC,0.33564039,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/25/2020 05:58:02,Receive,,100.00,USD,,,Imported Wallet - Binance 2020 Trades - USD,,,,,,,,,,,,,,,
06/25/2020 05:58:02,Receive,,100.00,USD,,,Binance US - USD,,,,,,,,,,,,,,,
06/25/2020 05:58:09,Buy,,0.01083700,BTC,0.01083700,100.00,Binance US - BTC,,,,100.00,USD,,,Binance US - USD,,,,0.50,USD,,
06/26/2020 05:23:15,Buy,,0.00097174,BTC,0.33661213,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/27/2020 05:30:57,Buy,,0.00097986,BTC,0.33759199,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/28/2020 05:45:31,Buy,,0.00099997,BTC,0.33859196,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/29/2020 05:30:08,Buy,,0.00098409,BTC,0.33957605,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/30/2020 06:12:10,Buy,,0.00098248,BTC,0.34055853,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/01/2020 05:38:11,Buy,,0.00098033,BTC,0.34153886,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/02/2020 06:13:10,Buy,,0.00097642,BTC,0.34251528,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/03/2020 05:26:20,Buy,,0.00098717,BTC,0.34350245,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/03/2020 09:02:14,Receive,,505.00,USD,,,Imported Wallet - Binance 2020 Trades - USD,,,,,,,,,,,,,,,
07/03/2020 21:02:20,Buy,,5045.20000000,ADA,5045.20000000,505.00,Binance US - ADA,,,,505.00,USD,,,Binance US - USD,,,,2.53,USD,,
07/03/2020 21:02:20,Buy,,5045.20000000,ADA,10090.40000000,505.00,Binance US - ADA,,,,505.00,USD,,,Binance US - USD,,,,,,,
07/03/2020 21:10:50,Buy,,50.00000000,LINK,100.00000000,244.34,Coinbase - LINK Wallet,,,Bought Chainlink Using Chase - mwk *****0519,244.34,USD,,,Coinbase - Cash (USD),,,Bought Chainlink Using Chase - mwk *****0519,3.59,USD,,
07/03/2020 21:18:19,Receive,,227.94,USD,,,Imported Wallet - Binance 2020 Trades - USD,,,,,,,,,,,,,,,
07/03/2020 21:18:33,Receive,,227.94,USD,,,Imported Wallet - Binance 2020 Trades - USD,,,,,,,,,,,,,,,
07/03/2020 21:18:40,Buy,,1.00000000,ETH,1.00000000,227.94,Binance US - ETH,,,,227.94,USD,,,Binance US - USD,,,,1.13,USD,,
07/03/2020 21:23:18,Buy,,1000.00000000,XRP,1000.00000000,178.68,Imported Wallet - Binance 2020 Trades - XRP,,,,178.68,USD,,,Imported Wallet - Binance 2020 Trades - USD,,,,0.89,USD,,
07/04/2020 05:48:09,Buy,,0.00098702,BTC,0.34448947,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/05/2020 06:19:17,Buy,,0.00098839,BTC,0.34547786,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/06/2020 05:35:28,Buy,,0.00098740,BTC,0.34646526,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/07/2020 05:56:38,Buy,,0.00096752,BTC,0.34743278,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/08/2020 06:14:15,Buy,,0.00096665,BTC,0.34839943,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/08/2020 14:43:04,Buy,,11397.00000000,DOGE,11397.00000000,49.26,Binance US - DOGE,,,,49.26,USD,,,Binance US - USD,,,,0.25,USD,,
07/09/2020 06:01:46,Buy,,0.00095641,BTC,0.34935584,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/10/2020 05:26:20,Buy,,0.00098119,BTC,0.35033703,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/11/2020 05:53:41,Buy,,0.00096872,BTC,0.35130575,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/12/2020 06:19:15,Buy,,0.00096809,BTC,0.35227384,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/13/2020 05:23:18,Buy,,0.00096632,BTC,0.35324016,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/14/2020 05:46:52,Buy,,0.00097745,BTC,0.35421761,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/15/2020 05:35:12,Buy,,0.00097099,BTC,0.35518860,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/16/2020 06:03:44,Buy,,0.00097595,BTC,0.35616455,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/17/2020 06:19:53,Buy,,0.00098390,BTC,0.35714845,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/18/2020 05:30:41,Buy,,0.00098163,BTC,0.35813008,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/19/2020 05:50:37,Buy,,0.00098086,BTC,0.35911094,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/20/2020 06:12:00,Buy,,0.00097600,BTC,0.36008694,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/21/2020 05:49:55,Buy,,0.00097424,BTC,0.36106118,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/22/2020 05:38:22,Buy,,0.00095879,BTC,0.36201997,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/23/2020 06:01:24,Buy,,0.00094414,BTC,0.36296411,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/24/2020 05:48:48,Buy,,0.00093860,BTC,0.36390271,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/25/2020 05:49:19,Buy,,0.00093450,BTC,0.36483721,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
07/26/2020 05:27:44,Buy,,0.00092573,BTC,0.36576294,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
